名稱,人名ID,姓名,出生時間,辭世時間,字,號,原名,姓,諱名,筆名,幼名,學名,譜名,別號,居室名,泮名,共同筆名,其它名稱,翻譯的語言別,原民族群,祖籍,原籍,籍貫,出生地,辭世地點,性別,理論,作家簡介,圖像預覽,引用自,圖像權利註記,網站顯示區域,提要撰寫,朝代,年號,作品出處,宗教信仰,稱譽,當代相關研究,族群,維基數據,虛擬國際權威檔案,資料外部連結,備註,原始資料,最後修改時間,url
,PER1092,王宗傑,1950-00-00,0000-00-00,,,,,,,,,,,,,,,,,,,臺灣臺南,,,男,,王宗傑，男，籍貫臺灣臺南，1950年生。臺灣師範大學國文系畢業。現為臺南市松柏學苑講師。曾獲鹽分地帶文學營創作獎。王宗傑創作文類以詩為主。其本著對臺灣本土文化之堅持，以閩南語作詩，藉由書面語形式為文，旁以漢羅拼音全本註譯，於形、音、意上嘗試展示臺灣閩南語之美，內容亦充滿濃厚鄉土風情，紀錄故鄉景物、懷想鹽鄉風情，形式與內容相契合，除具備文學審美價值外，於閩南語研究和發展上亦有所貢獻。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1092
,PER1093,王定國,,,,,,,,,,,,,,,,,,,,,臺灣彰化,,,男,,王定國，男，籍貫臺灣彰化，1954年12月9日生。臺中僑光商專畢業。曾任建設公司企畫、臺中地檢處書記官、國家企畫公司總經理，《臺灣新文學》雜誌社長，現任國唐建設公司董事長。曾獲全國大專文藝創作獎、時報文學獎、聯合報小說獎。王定國的創作文類有散文和小說。作品大都與童年的處境息息相關，而且有一特色：「那就是描繪人間的幻滅絕望，從幻滅破壞中觀察人性」（李喬）。因此，在他筆下的人物「各個深含悲情」（自敘）。王定國精巧地運用許多伏筆，善於表達小說中人物與事件互相撞擊的關係，並且充分表達現代人的心理。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1093
,PER1094,王尚勤,1940/5/17,0000-00-00,,,,,,"心影
舒琴",,,,,,,,,,,,,河南汜水,,,女,,王尚勤，女，筆名舒琴、心影，籍貫河南汜水，1940年5月17日生，1949年前後隨父母來臺。臺灣大學農經系畢業，美國田納西大學研究。曾任聯合國翻譯，現旅居美國，從事房地產事業及會計工作。王尚勤創作文類以散文為主，兼及傳記。散文常刊載於海外中文報刊，主題偏好海外華人風情。此外，身為作家王尚義的妹妹，她對自己早逝的哥哥王尚義及那個存在主義式的年代，也有深刻的紀錄。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1094
,PER1095,王尚義,1936/9/25,1963/8/26,,,,,,,,,,,,,,,,,,,河南汜水,,,男,,王尚義，男，籍貫河南汜水，1936年9月25日生，1949年前後隨父母來臺，1963年8月26日辭世，時年27歲。臺灣大學醫學系畢業。志趣在文學與藝術方面，讀完大學一年級時，曾決定轉系，但因顧及家人的期望，未能實現。1963年，剛參加過畢業典禮，便因病住進臺大醫院，不久即辭世。王尚義創作文類以散文、小說為主，兼及論述。受當時流行的存在主義哲學與文學的影響至深且鉅。在他的作品中，充滿對生、死、愛、恨的糾結，年輕人的生活、思想、苦悶和徬徨，蘊含一種冷靜的批判，語氣悲壯而深沉，可看出他對人生深刻的體驗。其作品《野鴿子的黃昏》在臺灣六○年代受到當時政府列為禁書，反成為知識分子關注的書籍，許多評論家為之作述評，作家楊照稱其為「六○年代的青年受難像」。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1095
,PER1096,王岩,,,,,劉永讓,,,,,,,,,,,,,,,,,,,男,,王岩，男，本名劉永讓，1916年生，1966年辭世，得年50歲。曾任臺中清水高中國文教師。王岩創作文類包括論述與詩。論述以教學實用為主，詩記大詩代風雲，兼顧小人物甘苦，所描摹風景歷神州大陸而及臺灣，有直白之戰鬥篇章，亦多即景短詩，呈現當代社會景況，蘊含人生哲理。對寫作和文學教育進行初步而有系統的介紹，供中小學教師參照，作為指導學生之用。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1096
,PER1097,王岫,1950/10/1,0000-00-00,,,王錫璋,,,中玄,,,,,,,,,,,,,臺灣臺中,,,男,,王岫，男，本名王錫璋，另有筆名中玄，籍貫臺灣臺中，1950年10月1日生。臺灣師範大學社會教育系圖書館學組畢業。曾任省立臺中圖書館館員、幹事，中央圖書館編輯、國家圖書館編審兼代參考組主任，同時為《國語日報》家庭版「每週書訊」專欄作者及親職教育版「觀念頻道」專欄編選人。現已退休，專事寫作。王岫創作的路線有二：一是以大眾化的內容和筆調，撰寫有關圖書館、閱讀及圖書出版方面的論述；另一是散文小品的創作，內容多為描述個人家庭及周遭人物的生活點滴。真摯的情感及對閱讀出版的關懷流動在字裡行間。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1097
,PER1108,王建生,,,,,,,,凌雲,,,,,,,,,,,,,臺灣屏東,,,男,,王建生，男，筆名凌雲，籍貫臺灣屏東，1946年9月5日生。東海大學中文系碩士。曾任東海大學中文系講師、副教授、教授兼系主任、所長，考試院典試委員，《東海文藝》季刊總編輯。現任東海大學中文系教授，並為臺灣省中國書畫學會理事、中國當代大專書畫教授聯誼會委員兼顧問。所編《東海文藝》曾獲得臺灣省新聞處優良刊物主編獎，曾獲得國科會甲種研究獎助、文復會中正文化獎。王建生創作文類以論述、詩為主。學術論述為古典詩學研究，詩作多為對於國家、社會的關注，及對週遭人事物的所見所感。散文抒寫個人情懷，以大度山生活為題材，包含思鄉情結。創作內容皆與其教學、研究或工作相關，樸實而真切。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1108
,PER1109,王建國,,,,,,,,,,,,,,,,,,,,,臺灣臺南,,,男,,王建國，男，籍貫臺灣臺南，1973年生。中山大學中文系碩士，成功大學中文系博士。曾任臺南藝術學院講師。現任臺南大學國文系助理教授。曾獲行政院文建會現代文學研究獎助。王建國的創作文類以論述為主。研究主題以臺灣文學史為主，對於日治時期新文學作家呂赫若有深入的探討，考證其生平、小說的流變與書寫主題及手法，並能與同時代其他作家之作品鑑賞比較。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1109
,PER7361,王建裕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7361
,PER1099,王怡之,1915/12/22,2014/5/30,,,王志忱,,,,,,,,,,,怡之,,,,,天津市,,,女,,王怡之，女，本名王志忱，別號怡之，籍貫天津，1915年12月22日生，1949年1月來臺，2014年5月30日辭世，享年99歲。北平中國大學中文系畢業。作家王藍之胞姊，就讀河北省立第一女子師範學校時與作家羅蘭、張秀亞為前後期同學，曾任天津女子師範教師、北平《大同》半月刊主編。來臺後曾任教於臺灣師範大學、淡江大學、輔仁大學、政治大學、建國中學、中山女中，執教三十餘年，1983年起移居美國。曾獲中山文藝文學論著獎。王怡之創作文類包括論述及散文。1935、1936年間開始在北平、天津各報副刊發表作品。來臺教學後，課餘之暇，寫作詩文自遣。評論多學術論著，散文則寫故鄉故人回憶、教學生活所感，情感真摯動人。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1099
,PER1098,王怡,1929/4/3,0000-00-00,,,,,,,,,,,,,,藍衫,,,,,安徽合肥,,,男,,王怡，男，號藍衫，籍貫安徽合肥，1929年4月3日生，1948年7月來臺，現已辭世，卒年不詳。政治作戰學校政治系第四期畢業。服役期間曾任幹事、指導員、輔導長、教官及軍報主編等職，退役後曾先後任《小說創作》月刊、《藍帶》雜誌、《偵探》雜誌主編，龍泉出版社社長兼編輯、瑞德出版社發行人。王怡創作文類包括論述、散文及小說。或專注於戲劇藝術之探討，或描述遊記所歷之生活世界，或從事人物事件之評鑑，皆有獨到之處。其遊記敘事清晰，觀察入微，《鄉夢已遠》一書更詳述大陸南北各地的民土風情，寫出故國山河近半世紀的變幻和滄桑。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1098
,PER178,王拓,,,,,,,,,,,,,,,,,,,,,,,,,,王拓，男，本名王紘久，1944年1月9日生於基隆，2016年8月9日辭世，享年73歲。臺灣師範大學國文系畢業，政治大學中文所碩士。曾任政治大學、光武工專講師，《健康世界》雜誌總經理，藥品公司經理。1980年因美麗島事件被捕入獄，出獄後任《文季》雜誌總編輯、《人間》雜誌社社長。1988年加入民主進步黨，曾任民進黨中央黨部組織部主任、國民大會代表、立法委員、行政院文建會主任委員、民進黨秘書長等職。王拓創作文類有論述、小說及兒童文學。早期曾撰寫張愛玲與中國古典小說相關的研究論述，並在報章雜誌上發表社會評論、報導文學、黨外人士訪談等；1970年代活躍於鄉土文學論戰，發表多篇文章申明「文學應立足現實」之理念。其小說文字質樸流暢，用語通俗親切，多以家鄉漁村為場景，描寫底層人物的辛酸與無奈。獄中完成長篇小說《牛肚港的故事》、《臺北，臺北！》；兒童文學《咕咕精與小老頭》、《小豆子歷險記》，呈現社會風潮下的生活脈動，細緻地描寫小人物，批判貧富差距、階級剝削等不公義的現象，顯現對於弱勢的深刻關懷。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER178
,PER1101,王明書,1925/12/10,0000-00-00,,,,,,"綿書
德容",,,,,,,,,,,,,福建林森,山東聊城,,女,,王明書，女，筆名綿書、德容，籍貫福建林森，1925年12月10日生於山東聊城，1949年6月來臺。臺灣師範大學夜間部國文系畢業。曾任教員、中央婦女工作會編輯。現旅居美國。王明書創作文類以散文為主。於1956年起開始在《中央日報》副刊發表作品，其散文以輕鬆簡潔為主，行文少有贅語，題材頗為廣闊，或描述抗戰時期的生活，或紀錄一生艱辛坎坷的歷程，或抒發家庭倫理與親情，或對大自然的讚嘆，每於誠摯、樸實、平淡中見真情。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1101
,PER7487,王明雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7487
,PER6910,王明嘉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6910
,PER5569,王明霞,,,,,,,,,,,,,,,,,,,,,江蘇鹽城,臺南,,女,,王明霞，女，籍貫江蘇鹽城，生於臺南。政治大學中文系畢業。大學畢業後，先後任職於福茂唱片、十月影視及縱橫國際影視公司，曾任企劃、剪接、後期導演、編劇，曾於崑山科技大學、長榮大學、育達商業科技大學、中國文化大學推廣教育部擔任電影編劇講師，並曾應邀擔任寶藏巖國際藝術村「微型群聚」駐村藝術家、亞東技術學院駐校藝術家。現為光言映像公司導演、編劇、監製。曾獲道南文學獎、電影神話創作發展基金會電影劇本創作獎。王明霞創作文類有詩、小說、劇本。詩集《我來自冥王星》集結其約二十年、七十餘首的創作，王明霞以詩素描世界與愛情，善用美學的感觀，捕捉心象與意象，並如霍建強在該詩集序文所言，其詩「試圖喚起（toevoke）讀者去體味文字以外的意境。」詩集出版之前，王明霞主要的創作領域以影像為主，長期投入電影與紀錄片拍攝、劇本撰寫，電影編劇作品包括《夜奔》、《心戀》、《心靈之歌》等，劇本多次獲新聞局劇情長片輔導金，首部輔導金短片《憂鬱森林》亦受國內外影展肯定。王明霞從2002年起跨足紀錄片，曾編導製作「安藤忠雄亞洲大學現代美術館」、「鑄字人」、「城之南：紀州庵本事」等多部藝文紀錄片。近年的創作則涵蓋文字與電影、紀錄片、錄像裝置等多元化類型影像作品。,,,,,,,,,,,,,,,,,王明霞，女，籍貫江蘇鹽城，生於臺南。,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5569
,PER7148,王明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7148
,PER6935,王東斌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6935
,PER1102,王杲,1925/5/27,2001/10/16,,,王珠釵,,,"王明
位雅",,,,,,,,,,,,,浙江瑞安,,,女,,王杲，女，本名王珠釵，另有筆名王明、位雅，籍貫浙江瑞安，1925年5月27日生，1948年來臺，2001年10月16日辭世，享年77歲。浙江瑞安高中畢業。曾任海軍士校文書官、海軍總部統計員。曾獲國軍新文藝金像獎散文佳作、極短篇小說獎，海軍新文藝金錨獎短篇小說銅錨獎、散文銅錨獎，國軍埔光文藝獎小說佳作。王杲的創作文類以散文為主。主題均為闡揚周邊環境之光明面，以健康誠實的筆，寫出心中所想之事，眼中所見之物。她在工作與理家之餘，寄情寫作抒發感觸，寫作態度誠懇而細緻。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1102
,PER1103,王牧之,1930/1/20,0000-00-00,,,王振荃,,,"歌風
江左司馬
郡南太史",,,,,,,,,,,,,浙江義烏,,,男,,王牧之，男，本名王振荃，另有筆名歌風、江左司馬、郡南太史等，籍貫浙江義烏，1930年1月20日生，1949年4月來臺迄今。政治作戰學校政治系初十八期畢業。曾任《革命軍報》編輯，陸軍《忠誠報》副刊主編，《臺灣時報》編輯，《今日高縣》雜誌、《智慧》雜誌社總編輯，《浙江月刊》社務委員，高雄新聞記者公會祕書，中國文藝協會南部分會理事及總幹事、高雄縣青溪新文藝學會理事長。現為高雄縣青溪新文藝學會榮譽理事長，浙江義烏旅臺南部同鄉會會長。曾獲國軍文康大競賽小說金像獎、中國文藝協會文藝獎章、青年日報文學獎、金環獎徵文詩歌銅像獎、行政院新聞局歌詞獎等獎項。王牧之創作文類有論述、散文、小說及報導文學。經歷戰亂和流浪的苦難，藉筆端發抒內心的苦悶與熾熱情感，並記敘苦難年代裡各種血淚交織的故事，樸實簡練，真摯感人。在南部推動文藝活動約三十年，為文藝的播種工作盡了頗大的心力。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1103
,PER5562,王育德,,,,,,,,,,,,,,,,,,,,,,,,,,"『王育德，生於1924年臺南府城本町(舊名草花街，今為民權路)。臺北高校文科甲類畢業後，1943年進入東京大學文學部支那文學科就讀，一度為躲避戰火疏散返臺，1945年任臺南第一中學教員，推展戲劇運動。其兄王育霖於二二八事件遇難後，王育德便經香港流亡日本，並繼續完成東京大學學業，是臺灣首位以研究臺語取得博士學位之人，其後任教明治大學、東京外國語大學等學校。 
浪漫的王育德，為了自費出版《台灣語常用語彙》而賣掉房子，後來也出版多部臺語研究相關書籍；而為了從事臺灣獨立運動，1960年在東京創辦『台灣青年社』與《台灣青年》雜誌，作為運動的據點及發聲基地；1975年開始奔波解決戰後臺籍日本兵補償問題。 
1985年心肌梗塞逝世於東京，至終不曾再回故鄉臺灣。
王育德創作涵蓋小說、詩、散文、評論、戲劇。戰後經由葉石濤介紹到當時由龍瑛宗擔任日文版總編輯的「中華日報」工作，一方面為報社撰稿，分別發表短篇小說「春戲」、「老子與墨子」等；另一方面也開始編寫劇本及戲劇演出，第一篇劇本「新生之朝」於1945年10月在臺南延平戲院(今臺南真善美戲院)演出。』
(出自王育德紀念館-關於王育德-認識王育德)",,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5562
,PER6971,王金選,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6971
,PER1105,王保珍,1933/12/13,2017/5/17,,,,,,"雲祥
緣珍",,,,,,,,,,,,,安徽合肥,上海市,,女,,王保珍，女，筆名雲祥、緣珍，籍貫安徽合肥，1933年12月13日生於上海市，1949年2月來臺，2017年5月17日辭世，享年84歲。臺灣大學中文系博士。曾任臺灣大學中文系講師、副教授，中華民國專欄作家協會常務監事、中國作家協會理事、臺北市文藝協會顧問。曾獲中國文藝協會文學評論獎。王保珍創作文類以論述、散文為主，兼及詩、小說及傳記。1956年左右開始在《文藝月報》發表作品，創作風格自然純樸，且充滿趣味，以淺白的文字，闡述自己的理念。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1105
,PER1106,王保雲,,,,,,,,翼芸,,,,,,,,,,,,,天津市,臺北市,,女,,王保雲，女，筆名翼芸，籍貫天津市，1956年7月25日生於臺北市。淡江大學中文系畢業，臺灣師範大學國文系碩士。曾任省立內埔農工國文教師兼執行祕書，省立海山高工國文教師，《全國兒童》週刊特約撰述，並為中華民國兒童美術學會籌備委員。現已退休。曾獲國軍文藝金像獎，《明道文藝》、《中央日報》、教育廳教師研究徵文。王保雲創作文類包括論述、散文與報導文學。擅長以文字作為沈潛自我、抒發於外之媒介，且喜以古典情懷探索生命諸象，凡事隨緣自得，將生活理念落實於文字之中。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1106
,PER7246,王信誠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7246
,PER1104,王信,1972/7/16,0000-00-00,,,,,,,,,,,,,,,,,,,山東濰縣,臺灣桃園,,男,,王信，男，籍貫山東濰縣，1972年7月16日生於臺灣桃園。臺灣大學物理系畢業，巴黎高等電影學院肄業，東吳大學法律系碩士。曾為電視節目企畫編劇、電腦遊戲製作人、國際通商法律事務所律師兼專利工程師，現任職於美國洛杉磯。作品曾獲全國學生文學獎、行政院文建會第一次出版獎。王信的創作文類有詩和小說。試圖從不同的思考、閱讀角度，試驗現代詩在形式上的各種鬆緊度。近年則嘗試小說寫作，小說以詩化的語言和思維，兼用童話和寓言的想像力和指法，巧妙地撥弄著人生的無奈、荒謬，和疏離。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1104
,PER5570,王厚森,1976/8/23,,,,,,,,,,,,,,,,,,,,高雄,臺南,,男,,王厚森，男，本名王文仁，籍貫高雄，1976年8月23日生於臺南。東海大學中文系畢業，南華大學文學所碩士，東華大學中文所博士。曾任臺東專科學校通識中心助理教授、東華大學中文系博士後研究員、虎尾科技大學通識中心助理教授。現任虎尾科技大學通識中心副教授，為創世紀詩社同仁。曾獲東海文學獎、南瀛文學獎與府城文學獎。王厚森創作文類以論述、詩為主，兼及散文。其研究主題與專長涵括現代詩學、近現代中國文學，在臺灣文學傳播的研究面向，亦著力頗深。在詩創作方面，文字沉穩，情感內斂，蘊藏生命哲思，展現深刻的知性思維。此外，王厚森亦有傳記散文、報導文學的理論與創作，呈現其對臺灣文學及文化的深思與關懷。,,,,,,,,,,,,,,,,,王厚森，男，本名王文仁，籍貫高雄，1976年8月23日生於臺南。,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5570
,PER5812,王威智,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5812
,PER1107,王宣一,,,,,,,,,,,,,,,,,,,,,浙江海鹽,臺北市,,女,,王宣一，女，籍貫浙江海鹽，1955年7月15日生於臺北，2015年2月15日辭世，享年60歲。東吳大學中文系畢業。曾任《時報周刊》編輯。曾獲聯合報文學獎。王宣一的創作文類以小說為主，兼及散文與兒童文學。擅長以平實的筆法寫人的成長、教育、愛情和工作，表露生命的平凡、通俗、重複與瑣碎，在小說的虛構空間中再現人生的真實面。近年更以飲食結合親情、童年記憶為素材，書寫母親與家族故事，道盡人間世事，頗受好評。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1107
,PER7679,王度廬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7679
,PER1110,王映湘,1924/9/21,0000-00-00,,,,,,"一心
司馬空
竹屏
沙愛蓬
愛愛",,,,,,,,鏡湖,,,,,雲南河西,,,男,,王映湘，男，筆名司馬空、一心、竹屏，別號鏡湖，籍貫雲南河西，1924年9月21日生，1949年6月來臺迄今。蘇州測量學校大學部製圖學系畢業。曾任科員、工程官、課長、雜誌主編、總編輯、教師等職，曾為臺中市青溪新文藝學會理事長。現為《古今藝文》發行人。曾獲中部五縣市新詩比賽、國軍新文藝金像獎、聯勤新文藝銅駝獎、青溪新文藝銅環獎、教育部文藝創作獎等獎項。王映湘創作文類包括論述、詩、散文、小說、報導文學及劇本。抗戰時期即開始寫作，內容大都以大時代為背景，有明顯的戰鬥性，也捕捉社會百態，筆鋒平實。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1110
,PER479,王昶雄,1916/2/15,2001/1/1,,,王榮生,,,,,,,,,,,,,,,,臺灣臺北,,,男,,王昶雄，男，本名王榮生，籍貫臺灣臺北，1916年2月15日生，2000年1月1日辭世，享年84歲。日本大學齒學系畢業。在日本曾加入《青鳥》雜誌、《文藝草紙》季刊，並在《臺灣新民報》發表作品。返臺後，在家鄉開設牙科，並正式加入張文環主編的《臺灣文學》雜誌參與編務。辭世後獲頒「臺灣文學牛津獎」。王昶雄創作文類以小說為主，另有評論、詩歌、散文、隨筆等。早期使用日文所寫作的小說、詩、評論，發表在中、日兩地報刊上。光復後，一度中斷文學創作，在呂泉生的鼓勵下，寫出了〈阮若打開心內的窗〉等多首歌詞。八○年代以後仍寫作不輟，主要是回憶性、批判性散文。小說主要創作於日據時期，帶有社會寫實及省思批判，為那個時代留下具體而鮮活的歷史紀錄。張恆豪認為他的四部中篇小說，可作為他思想的註腳：〈奔流〉站在被殖民者的立場，冷智地揭露皇民化運動對於臺灣人心靈的摧殘與迫害；〈淡水河的漣漪〉，含蓄地表達了對祖國風土人情的嚮往；〈梨園之歌〉，傳達臺灣同胞在異族高壓下和衷共濟、患難相助的情懷；〈鏡子〉影射兩種不同典型的日本人心態，以及暗示臺灣人的應付之道。詩歌部分，多以故鄉淡水為主題，其中抒發鄉愁及年華逝去的惆悵，亦對淡水河日漸污染感到憂心與憤慨。為日據時代重要作家之一。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER479
,PER6329,王柏偉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6329
,PER1111,王洪鈞,1922/10/1,2004/4/7,,,,,,,,,,,,,,,,,,,天津市,,,男,,王洪鈞，男，籍貫天津市，1922年10月1日生，1957年自美返臺，2004年4月7日辭世，享年82歲。中央政治學校新聞學院畢業，美國密蘇里大學新聞學院碩士。曾任職於中央通訊社、《益世報》撰述。抗戰勝利噢，任《中央日報》平津特派員，繼返南京總社，任記者、採訪主任、編輯、撰述委員及主筆職務。來臺後，曾任教育部高等教育司司長、政治大學新聞學系系主任、中國文化大學新聞暨傳播學院院長。王洪鈞創作文類以論述及散文為主。著有新聞學及大眾傳播學專著多種。散文有小品，風格雋永清新；亦有講演文稿，以振興倫理道德為志，提出許多切身體驗和獨立的見解。在教育部高等教育司司長任內，訂定長期發展教育計畫；1968年，協助教育部創立文化局，擔任首任局長，推動復興文化工作，實施音樂年及音樂服務社會計畫，文藝與建設結合計畫、及振興國劇及民俗技藝計畫、訂定廣播法、草擬電影法，績效卓著。1967年，開始執教於政治大學新聞系及研究所兼系主任，創建新聞館、擘劃現代新聞教育各項設施，奠立政府遷臺後大學新聞教育之堅固基礎，有新聞界「教父」的美譽。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1111
,PER1112,王炳麟,1929-00-00,0000-00-00,,,,,,,,,,,,,,,,,,,山東濰縣,,,男,,王炳麟，男，籍貫山東濰縣，1929年生，1949年前後來臺迄今。為職業軍人。現已退休。王炳麟創作類型以散文為主。文字平實，作品風格輕鬆趣味，篇幅多短小，希望以文章承載人生經驗與希望之泉，傳達了作者對人生奮鬥的哲理，具有啟發作用。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1112
,PER6760,王玲玲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6760
,PER5571,王美霞,"1960-05-00
1960-05-25",,,,,,,,,,,,,,,,,,,,臺中,臺中,,女,,,,,,,,,,,,,,,,,,,王美霞，女，1960年5月25日生於臺中。,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER5571
,PER1113,王貞文,1965/9/29,2017/5/10,,,,,,"偉海
吳理真
綠鷹
綠茵",,,,,,,,,,,,,臺灣嘉義,臺北,,女,,王貞文，女，筆名偉海、吳理真、綠鷹、綠茵，籍貫嘉義，1965年9月29日生於臺北，2017年5月10日辭世，得年52歲。東海大學歷史系畢業，臺南神學院神學系道學碩士，德國畢勒費伯特利神學院神學（KirchlicheHochschuleBethel）博士班肄業。曾任《葡萄園》詩刊主編，臺灣筆會、《台文戰線》同仁。曾任職長老會香山教會、長老會新竹大專中心、科隆華人團契、臺南神學院神學研究所。曾獲K氏臺灣青年人文獎、李江卻基金會臺文小說獎、海翁臺語文學獎。王貞文創作文類有詩、散文與小說。散文以宗教大愛透析日常瑣事，以神學理論詮釋歷史與週遭事件；小說描繪生命陰暗處猶然有不滅之光，彰顯人性內在美好。1998年起，在作家宋澤萊的鼓勵下，開始以臺語文創作，出版有詩集《檸檬蜜茶》、小說集《天使》，關照民主運動與大時代下的女性，作品亦展現一貫的基督教關懷。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1113
,PER7327,王重敏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER7327
,PER1121,王健壯,1952/11/6,0000-00-00,,,,,,,,,,,,,,,,,,,安徽無為,臺灣高雄,,男,,王健壯，男，籍貫安徽無為，1952年11月6日生於臺灣高雄。臺灣大學歷史系畢業，美國維吉尼亞大學碩士。曾任《仙人掌雜誌》、《中國時報》「人間副刊」主編、國會記者、專欄主任、採訪主任，《時報雜誌》社長兼總編輯，《時報新聞周刊》總編輯，《新新聞》總編輯、社長。現任《中國時報》副社長兼總編輯。王健壯創作文類以散文為主。題材可分兩類，一類以評論為主，針砭時事，為社會百態把脈，而希冀以此透徹政治權力運作中之真偽，為弱勢發聲。一類創作近於報導紀實，紀錄各式新聞記者人生故事，剪裁鍛鍊而為文，由此搜尋新聞工作之本質。,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER1121
,PER6615,王家珠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmtl.daoyidh.com/zh-tw/main/writerintro?personId=PER6615
